Release anterior,Release atual,intervalo entre as releases(dias),novos colaboradores,numero total de commits,commits de novos colaboradores,total de colaboradores
v0.6.0,v0.7.0,5,6,180,6,31
v0.7.0,v0.7.1,3,8,174,12,34
v0.7.1,v0.8.0,62,95,1729,270,138
v0.8.0,v0.9.0,60,99,1706,387,155
v0.9.0,v0.10.0,79,131,2350,424,202
v0.10.0,v0.11.0,62,111,2776,396,206
v0.11.0,v0.12.0,40,66,1842,141,165
v0.12.0,v1.0.0,53,91,1944,216,194
v1.0.0,v1.0.1,24,62,867,79,159
v1.0.1,v1.1.0,44,108,1592,153,244
v1.1.0,v1.2.0,54,125,2072,207,258
v1.2.0,v1.2.1,15,34,600,41,122
v1.2.1,v1.3.0,47,80,1630,143,203
v1.3.0,v1.3.1,40,78,1474,182,198
v1.3.1,v1.4.0,36,62,1537,115,180
v1.4.0,v1.4.1,36,93,1700,172,237
v1.4.1,v1.5.0,48,110,2012,199,279
v1.5.0,v1.6.0,33,87,1740,240,242
v1.6.0,v1.5.1,20,49,1008,79,185
v1.5.1,v1.7.0,8,19,481,25,117
v1.7.0,v1.8.0,29,60,1804,101,229
v1.8.0,v1.7.1,7,14,340,20,99
v1.7.1,v1.9.0,66,126,3420,249,324
v1.9.0,v1.10.0,29,71,1620,107,224
v1.10.0,v1.10.1,15,27,1006,59,161
v1.10.1,v1.11.0,33,46,1792,101,200
v1.11.0,v1.12.0,37,69,2280,167,248
v1.12.0,v1.13.1,115,185,7121,1000,416
v1.13.1,v1.12.1,51,130,5317,473,359
v1.12.1,v1.12.2,0,0,8,0,8
v1.12.2,v1.14.0,61,92,4769,324,350
v1.14.0,v1.12.3,2,3,330,4,99
v1.12.3,v1.13.2,24,40,1785,84,224
v1.13.2,v2.0.0,74,148,6309,590,406
v2.0.0,v1.15.0,16,22,1264,45,195
v1.15.0,v2.1.0,84,146,5906,517,438
v2.1.0,v2.0.1,15,28,1193,70,203
v2.0.1,v1.15.2,3,4,239,9,82
v1.15.2,v2.2.0,100,158,8005,639,454
v2.2.0,v2.0.2,6,7,481,5,128
v2.0.2,v2.1.1,1,1,139,1,56
v2.1.1,v1.15.3,0,0,71,0,37
v1.15.3,v2.3.0,70,119,5489,771,401
v2.3.0,v1.15.4,60,90,4521,282,358
v2.3.1,v2.1.2,1,2,180,1,71
v2.1.2,v2.4.0,79,101,5237,254,397
v2.4.0,v1.15.5,23,20,847,54,170
v2.3.2,v2.4.1,16,21,1043,39,186
v2.4.1,v2.5.0,111,137,7242,444,450
v2.5.0,v2.3.3,23,33,1379,70,213
v2.3.3,v2.1.4,4,1,157,2,52
v2.1.4,v2.2.3,1,3,151,5,57
v2.2.3,v2.4.2,0,0,80,0,33
v2.4.2,v2.5.1,58,42,3364,98,295
v2.5.1,v2.6.0,0,1,43,1,18
v2.6.0,v2.3.4,2,3,206,4,73
v2.4.3,v2.5.2,80,73,4429,195,325
v2.4.4,v2.6.1,0,0,21,0,4
v2.6.1,v2.7.0,0,1,11,1,6
v2.7.0,v2.6.2,2,1,168,1,54
v2.6.2,v2.6.3,87,49,3925,128,286
v2.6.3,v2.7.1,0,0,4,0,2
v2.5.3,v2.8.0,1,1,26,1,15
v2.8.0,v2.7.2,100,81,4718,248,336
v2.8.1,v2.6.4,0,2,50,1,24
v2.6.4,v2.9.0,0,0,6,0,4
v2.9.0,v2.7.3,7,4,407,2,86
v2.7.3,v2.6.5,1,1,19,1,12
v2.9.1,v2.7.4,101,110,4860,335,342
v2.7.4,v2.8.3,0,0,1,0,1
v2.8.3,v2.9.2,0,0,3,0,2
v2.9.2,v2.10.0,1,2,112,2,35
v2.10.0,v2.10.1,73,53,3916,161,302
v2.10.1,v2.8.4,0,0,4,0,2
v2.8.4,v2.9.3,0,0,1,0,1
v2.9.3,v2.11.0,0,4,112,4,51
v2.11.0,v2.11.1,120,106,6272,555,401
v2.11.1,v2.12.0,4,4,182,4,86
v2.12.0,v2.12.1,98,69,4777,207,368
v2.12.1,v2.13.0,1,3,102,4,55
v2.13.0,v2.13.1,75,39,3551,178,295
v2.13.1,v2.14.0,9,6,389,5,99
v2.14.0,v2.15.0,50,32,2100,63,243
v2.14.1,v2.16.1,116,67,4955,357,304
v2.16.1,v2.15.1,2,1,137,1,55
v2.15.1,v2.16.2,109,56,4873,256,297
v2.16.2,v2.17.0,14,7,523,11,101
v2.17.0,v2.17.1,97,53,4210,216,261
v2.17.1,v2.18.0,6,4,307,6,68
